Id,Netto,Qta,Dim,Lav,Date,Cap,TipoAttivita,idMatrice,idCat,TipoCalc
176,121.03,64.89,4.0,1,2022-01-14,10010,BAR,1,1,T04
177,335.72,49.92,5.0,1,2022-01-14,10010,BAR,1,2,T04
178,0.0,0.0,0.0,0,2022-01-14,10010,BAR,1,3,T04
179,0.0,0.0,0.0,0,2022-01-14,10010,BAR,1,4,T04
180,0.0,0.0,0.0,0,2022-01-14,10010,BAR,1,5,T04
181,0.0,0.0,0.0,0,2022-01-16,10010,BAR,1,1,T04
182,0.0,0.0,0.0,0,2022-01-16,10010,BAR,1,2,T04
183,0.0,0.0,0.0,0,2022-01-16,10010,BAR,1,3,T04
184,0.0,0.0,0.0,0,2022-01-16,10010,BAR,1,4,T04
185,0.0,0.0,0.0,0,2022-01-16,10010,BAR,1,5,T04
186,0.0,0.0,0.0,0,2022-01-23,10010,BAR,1,1,T04
187,0.0,0.0,0.0,0,2022-01-23,10010,BAR,1,2,T04
188,0.0,0.0,0.0,0,2022-01-23,10010,BAR,1,3,T04
189,0.0,0.0,0.0,0,2022-01-23,10010,BAR,1,4,T04
190,0.0,0.0,0.0,0,2022-01-23,10010,BAR,1,5,T04
191,0.0,0.0,0.0,0,2022-01-25,10010,BAR,1,1,T04
192,0.0,0.0,0.0,0,2022-01-25,10010,BAR,1,2,T04
193,0.0,0.0,0.0,0,2022-01-25,10010,BAR,1,3,T04
194,0.0,0.0,0.0,0,2022-01-25,10010,BAR,1,4,T04
195,0.0,0.0,0.0,0,2022-01-25,10010,BAR,1,5,T04
196,79.28,33.88,4.0,1,2022-01-30,10010,BAR,1,1,T04
197,485.31,105.31,5.0,1,2022-01-30,10010,BAR,1,2,T04
198,314.55,85.32,5.0,1,2022-01-30,10010,BAR,1,3,T04
199,904.69,174.39,7.0,1,2022-01-30,10010,BAR,1,4,T04
200,0.0,0.0,0.0,0,2022-01-30,10010,BAR,1,5,T04
201,0.0,0.0,0.0,0,2022-02-01,10010,BAR,1,1,T04
202,0.0,0.0,0.0,0,2022-02-01,10010,BAR,1,2,T04
203,0.0,0.0,0.0,0,2022-02-01,10010,BAR,1,3,T04
204,0.0,0.0,0.0,0,2022-02-01,10010,BAR,1,4,T04
205,0.0,0.0,0.0,0,2022-02-01,10010,BAR,1,5,T04
206,94.11,57.91,4.0,1,2022-02-03,10010,BAR,1,1,T04
207,288.34,47.72,5.0,1,2022-02-03,10010,BAR,1,2,T04
208,27.16,16.17,3.0,1,2022-02-03,10010,BAR,1,3,T04
209,227.05,44.12,3.0,1,2022-02-03,10010,BAR,1,4,T04
210,0.0,0.0,0.0,0,2022-02-03,10010,BAR,1,5,T04
211,0.0,0.0,0.0,0,2022-02-08,10010,BAR,1,1,T04
212,0.0,0.0,0.0,0,2022-02-08,10010,BAR,1,2,T04
213,0.0,0.0,0.0,0,2022-02-08,10010,BAR,1,3,T04
214,0.0,0.0,0.0,0,2022-02-08,10010,BAR,1,4,T04
215,0.0,0.0,0.0,0,2022-02-08,10010,BAR,1,5,T04
216,147.64,57.17,5.0,1,2022-02-10,10010,BAR,1,1,T04
217,366.59,90.44,5.0,1,2022-02-10,10010,BAR,1,2,T04
218,24.19,17.16,3.0,1,2022-02-10,10010,BAR,1,3,T04
219,374.99,52.99,4.0,1,2022-02-10,10010,BAR,1,4,T04
220,0.0,0.0,0.0,0,2022-02-10,10010,BAR,1,5,T04
221,109.72,60.45,5.0,1,2022-02-17,10010,BAR,1,1,T04
222,336.49,71.53,5.0,1,2022-02-17,10010,BAR,1,2,T04
223,138.48,52.49,4.0,1,2022-02-17,10010,BAR,1,3,T04
224,379.44,71.74,5.0,1,2022-02-17,10010,BAR,1,4,T04
