chart_date,country,release_cohort_month,chart_tracks,streams,average_rank,average_days_since_release
2026-06-26,IT,2026-01-01,15,1550374,83.66666666666666,159.13333333333333
2026-06-26,IT,2026-04-01,17,1976360,71.88235294117646,72.76470588235294
2026-06-26,IT,2026-06-01,21,2107700,77.09523809523809,12.523809523809524
2026-07-05,IT,2024-05-01,1,73917,71.0,779.0
2026-07-05,IT,2018-06-01,1,46850,188.0,2928.0
2026-07-05,IT,1993-01-01,1,65434,92.0,12238.0
2026-07-05,IT,2013-01-01,1,89418,49.0,4933.0
2026-07-05,IT,2005-11-01,1,49849,159.0,7524.0
2026-07-05,IT,1999-01-01,1,50069,157.0,10047.0
2026-07-05,IT,2024-02-01,1,48597,166.0,884.0
2026-07-05,IT,2009-05-01,1,47937,175.0,6253.0
2026-07-05,IT,2016-09-01,1,47421,181.0,3586.0
2026-07-05,IT,1996-06-01,1,57505,118.0,10991.0
2026-07-05,IT,2024-09-01,1,63688,98.0,660.0
2026-07-05,IT,2022-09-01,1,59130,113.0,1388.0
2026-07-05,IT,2005-05-01,1,55716,130.0,7709.0
2026-07-05,IT,2020-12-01,1,46990,187.0,2039.0
2026-07-05,IT,1992-01-01,1,49025,164.0,12604.0
2026-07-05,IT,2018-10-01,1,65273,94.0,2819.0
2026-07-05,IT,2017-11-01,1,49674,160.0,3145.0
2026-07-05,IT,2018-01-01,1,48491,170.0,3089.0
2026-07-05,IT,2018-11-01,1,47773,178.0,2774.0
2026-07-05,IT,2022-06-01,1,62668,101.0,1493.0
2026-07-05,IT,2016-01-01,1,57765,116.0,3817.0
2026-07-05,IT,2014-08-01,1,54193,139.0,4352.0
2026-07-05,IT,2011-04-01,1,60611,106.0,5546.0
2026-07-05,IT,2017-10-01,1,74436,69.0,3194.0
2026-07-05,IT,2016-10-01,1,50381,155.0,3544.0
2026-07-05,IT,2020-09-01,1,59464,109.0,2109.0
2026-07-05,IT,2023-06-01,1,46486,192.0,1122.0
2026-07-05,IT,2025-12-01,1,48008,174.0,213.0
2026-07-05,IT,2018-02-01,1,76713,65.0,3068.0
2026-07-05,IT,2023-07-01,1,46241,193.0,1094.0
2026-07-05,IT,1983-06-01,1,54528,137.0,15724.0
2026-07-05,IT,2019-09-01,1,49030,163.0,2487.0
2026-07-05,IT,2011-12-01,1,49454,161.0,5312.0
2026-07-05,IT,2021-10-01,1,58011,114.0,1717.0
2026-07-05,IT,2012-10-01,1,46048,194.0,5017.0
2026-07-05,IT,2020-10-01,1,45618,197.0,2074.0
2026-07-05,IT,2016-04-01,1,49983,158.0,3726.0
2026-07-05,IT,2022-05-01,1,85616,51.0,1521.0
2026-07-05,IT,2022-07-01,1,47454,180.0,1460.0
2026-07-05,IT,2025-11-01,1,113406,33.0,240.0
2026-07-05,IT,2013-06-01,1,59290,111.0,4779.0
2026-07-05,IT,1998-01-01,2,104761,151.0,10412.0
2026-07-05,IT,2023-02-01,2,117208,113.5,1237.5
2026-07-05,IT,2017-05-01,2,124653,128.5,3348.0
2026-07-05,IT,2019-04-01,2,121748,112.0,2648.0
2026-07-05,IT,2021-02-01,2,163008,98.0,1969.0
2026-07-05,IT,2023-05-01,2,96594,176.0,1146.5
2026-07-05,IT,2023-11-01,2,96735,170.5,961.0
2026-07-05,IT,1995-01-01,2,127120,100.0,11508.0
2026-07-05,IT,2025-10-01,2,156437,71.0,257.5
2026-07-05,IT,2012-01-01,2,169160,74.5,5299.0
2026-07-05,IT,1982-11-01,2,154499,65.0,15923.0
2026-07-05,IT,2020-06-01,2,100457,165.0,2211.5
2026-07-05,IT,2025-02-01,2,182026,72.0,507.0
2026-07-05,IT,2019-03-01,3,196502,95.0,2657.3333333333335
2026-07-05,IT,2025-08-01,3,228274,98.66666666666666,317.0
2026-07-05,IT,2025-07-01,3,196580,92.0,352.0
2026-07-05,IT,2024-10-01,3,199152,94.33333333333333,618.0
2026-07-05,IT,2024-12-01,3,169185,135.66666666666666,570.0
2026-07-05,IT,2024-11-01,3,210391,99.33333333333333,586.6666666666666
